"","countrycode","year","gii","scenario"
"396","SLV",2001,0.498250124762025,"Observed"
"397","STP",2001,0.59829186501186,"Observed"
"398","SUR",2001,0.538338399977186,"Observed"
"399","SVK",2001,0.150874757591977,"Observed"
"400","SVN",2001,0.0453933543198188,"Observed"
"401","SWE",2001,0.01,"Observed"
"402","SWZ",2001,0.686134602506635,"Observed"
"403","TCD",2001,0.781582565888564,"Observed"
"404","TGO",2001,0.670814128634143,"Observed"
"405","THA",2001,0.375322040169867,"Observed"
"406","TJK",2001,0.400149140399837,"Observed"
"407","TKM",2001,0.226385784961029,"Observed"
"408","TON",2001,0.520858366463451,"Observed"
"409","TTO",2001,0.41767603611372,"Observed"
"410","TUN",2001,0.339601802312648,"Observed"
"411","TUR",2001,0.514527194565222,"Observed"
"412","TZA",2001,0.615080287944408,"Observed"
"413","UGA",2001,0.610853268592562,"Observed"
"414","UKR",2001,0.333342469490679,"Observed"
"415","URY",2001,0.344796692258384,"Observed"
"416","USA",2001,0.238424419833148,"Observed"
"417","VEN",2001,0.520590874009444,"Observed"
"418","VNM",2001,0.306879910703543,"Observed"
"419","VUT",2001,0.618871352443329,"Observed"
"420","WSM",2001,0.45757333359988,"Observed"
"421","YEM",2001,0.838057972570865,"Observed"
"422","ZAF",2001,0.446478436966933,"Observed"
"423","ZMB",2001,0.641547089808048,"Observed"
"424","ZWE",2001,0.613512006155077,"Observed"
"425","AGO",2002,0.665330823685185,"Observed"
"426","ALB",2002,0.283238960947353,"Observed"
"427","ARE",2002,0.419792407142051,"Observed"
"428","ARG",2002,0.374319689446398,"Observed"
"429","ARM",2002,0.417353066032644,"Observed"
"430","AUS",2002,0.0898612143194817,"Observed"
"431","AZE",2002,0.338832745306614,"Observed"
"432","BDI",2002,0.602683244541052,"Observed"
"433","BEL",2002,0.0585770512397251,"Observed"
"434","BEN",2002,0.666858698189233,"Observed"
"435","BFA",2002,0.641115258877369,"Observed"
"436","BGD",2002,0.732352653906759,"Observed"
"437","BGR",2002,0.218628674468893,"Observed"
"438","BLR",2002,0.233906234839714,"Observed"
"439","BLZ",2002,0.523320343857042,"Observed"
"440","BOL",2002,0.539662030337327,"Observed"
"441","BRA",2002,0.486230920000762,"Observed"
"442","BTN",2002,0.580770075632582,"Observed"
"443","BWA",2002,0.498380059863496,"Observed"
"444","CAF",2002,0.695100972438338,"Observed"
"445","CAN",2002,0.0822471383676782,"Observed"
"446","CHE",2002,0.01,"Observed"
"447","CHL",2002,0.377391386440392,"Observed"
"448","CHN",2002,0.194069454912846,"Observed"
"449","CIV",2002,0.691164079541567,"Observed"
"450","CMR",2002,0.661178760290348,"Observed"
"451","COL",2002,0.485228741990434,"Observed"
"452","CPV",2002,0.502727886367529,"Observed"
"453","CRI",2002,0.350688401911622,"Observed"
"454","CUB",2002,0.342592800192311,"Observed"
"455","CYP",2002,0.0787684437470565,"Observed"
"456","CZE",2002,0.078025160022797,"Observed"
"457","DEU",2002,0.0444780728977949,"Observed"
"458","DNK",2002,0.01,"Observed"
"459","DOM",2002,0.474492134536784,"Observed"
"460","DZA",2002,0.544753667701221,"Observed"
"461","EGY",2002,0.59922957056286,"Observed"
"462","ESP",2002,0.0509685376436438,"Observed"
"463","EST",2002,0.222665711818805,"Observed"
"464","ETH",2002,0.674214376822863,"Observed"
"465","FIN",2002,0.0169109002745929,"Observed"
